Currently Available Inventory for The Happy Cannabis,,,,,,,,,,,,,
03-09-2026 12:45 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Product,Product-Line,Sub-Product-Line,Category,Sub-Category,Price,Available For Sale,THC,THCA,CBD,CBDA,Total,Order,SKU
100 % Flower Pre-Rolls - Killer Green Bud - 10-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231U143573
100 % Flower Pre-Rolls - Killer Green Bud - 20-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C32319163574
100 % Flower Pre-Rolls - Killer Green Bud - 2-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.00,0.00,0.00,0.00,0.00,,C32318153575
100 % Flower Pre-Rolls - Killer Green Bud - 5-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.00,0.00,0.00,0.00,0.00,,C323181G3576
100 % Flower Pre-Rolls - King Louie - 10-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231U1X3581
100 % Flower Pre-Rolls - King Louie - 20-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C323131A2350
100 % Flower Pre-Rolls - King Louie - 2-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.28,26.17,0.00,0.06,28.00,,C32319143582
100 % Flower Pre-Rolls - King Louie - 5-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.00,0.00,0.00,0.00,0.00,,C3231B1N3583
100 % Flower Pre-Rolls - Magic Pop Rocks - 10-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231Z143588
100 % Flower Pre-Rolls - Magic Pop Rocks - 20-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231T1Z3589
100 % Flower Pre-Rolls - Magic Pop Rocks - 2-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.00,0.00,0.00,0.00,0.00,,C3231H1Y3590
100 % Flower Pre-Rolls - Magic Pop Rocks - 5-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.00,0.00,0.00,0.00,0.00,,C3231Q1K3591
100 % Flower Pre-Rolls - Mambas - 10-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C323151A3812
100 % Flower Pre-Rolls - Mambas - 20-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231R1U3811
100 % Flower Pre-Rolls - Mambas - 2-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.33,18.84,0.00,0.05,20.00,,C3231J1V3809
100 % Flower Pre-Rolls - Mambas - 5-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.00,0.00,0.00,0.00,0.00,,C323161A3810
100 % Flower Pre-Rolls - Wake 'N' Bake Cookies - 10-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231U1A3600
100 % Flower Pre-Rolls - Wake 'N' Bake Cookies - 20-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231Y173601
100 % Flower Pre-Rolls - Wake 'N' Bake Cookies - 2-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.00,0.00,0.00,0.00,0.00,,C323181J3602
100 % Flower Pre-Rolls - Wake 'N' Bake Cookies - 5-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.00,0.00,0.00,0.00,0.00,,C3231E1G3603
100 % Flower Pre-Rolls - Wedding Cake - 10-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231T1J3968
100 % Flower Pre-Rolls - Wedding Cake - 20-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C32314123971
100 % Flower Pre-Rolls - Wedding Cake - 2-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.00,0.00,0.00,0.00,0.00,,C3231K1M3970
100 % Flower Pre-Rolls - Wedding Cake - 5-pack x 0.5g,CATALOG 100 % Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.00,0.00,0.00,0.00,0.00,,C3231Z143969
100% Flower Pre-Rolls - Killer Green Bud - 10-pack x 0.5g,100% Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231P162956
100% Flower Pre-Rolls - Killer Green Bud - 20-pack x 0.5g,100% Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C323171A2958
100% Flower Pre-Rolls - Killer Green Bud - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.17,23.26,0.00,0.06,24.00,,C323121E2957
100% Flower Pre-Rolls - Killer Green Bud - 5-pack x 0.5g,100% Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.17,23.26,0.00,0.06,24.00,,C323181A2955
100% Flower Pre-Rolls - King Louie - 10-pack x 0.5g,100% Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.33,25.89,0.00,0.07,28.00,,C3231T1P2348
100% Flower Pre-Rolls - King Louie - 20-pack x 0.5g,100% Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231J1V3604
100% Flower Pre-Rolls - King Louie - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.00,0.00,0.00,0.00,0.00,,C323191S2349
100% Flower Pre-Rolls - King Louie - 5-pack x 0.5g,100% Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.33,25.89,0.00,0.07,28.00,,C32317172347
100% Flower Pre-Rolls - Magic Pop Rocks - 10-pack x 0.5g,100% Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.00,0.00,0.00,0.00,0.00,,C3231D1G3528
100% Flower Pre-Rolls - Magic Pop Rocks - 20-pack x 0.5g,100% Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C323151G3529
100% Flower Pre-Rolls - Magic Pop Rocks - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,1.27,21.32,0.00,0.05,24.00,,C3231D1A3530
100% Flower Pre-Rolls - Magic Pop Rocks - 5-pack x 0.5g,100% Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,1.27,21.32,0.00,0.05,24.00,,C3231C173531
100% Flower Pre-Rolls - Mambas - 10-pack x 0.5g,100% Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.47,23.02,0.00,0.06,25.00,,C323181U3379
100% Flower Pre-Rolls - Mambas - 20-pack x 0.5g,100% Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231M1Y3380
100% Flower Pre-Rolls - Mambas - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.47,23.02,0.00,0.06,25.00,,C3231C1P3381
100% Flower Pre-Rolls - Mambas - 5-pack x 0.5g,100% Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.47,23.02,0.00,0.06,25.00,,C3231R1P3382
100% Flower Pre-Rolls - Wake 'N' Bake Cookies - 10-pack x 0.5g,100% Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.41,27.44,0.00,0.07,29.00,,C3231B1V2336
100% Flower Pre-Rolls - Wake 'N' Bake Cookies - 20-pack x 0.5g,100% Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231N182338
100% Flower Pre-Rolls - Wake 'N' Bake Cookies - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.23 - 0.41,27.44 - 28.93,0.00,0.06 - 0.07,29.00 - 31.00,,C3231S1G2337
100% Flower Pre-Rolls - Wake 'N' Bake Cookies - 5-pack x 0.5g,100% Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.41,27.44,0.00,0.07,29.00,,C3231N1Y2335
100% Flower Pre-Rolls - Wedding Cake - 10-pack x 0.5g,100% Flower Pre-Rolls,10 pk / 5g,,,$11.95,0,0.31,24.79,0.00,0.05,27.00,,C3231V171871
100% Flower Pre-Rolls - Wedding Cake - 20-pack x 0.5g,100% Flower Pre-Rolls,20 pk / 10g,,,$22.00,0,0.00,0.00,0.00,0.00,0.00,,C3231B1K2133
100% Flower Pre-Rolls - Wedding Cake - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$3.00,0,0.31,24.79,0.00,0.05,27.00,,C3231E1N1873
100% Flower Pre-Rolls - Wedding Cake - 5-pack x 0.5g,100% Flower Pre-Rolls,5 pk / 2.5g,,,$6.35,0,0.31,24.79,0.00,0.05,27.00,,C323131G1872
"Breakfast & Lunch & Dinner - KGB,MM,MPR - 12-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,12 pk / 6g,,,$14.10,96,0.00,0.00,0.00,0.00,25.00,,C3231Z1X3743
"Breakfast & Lunch & Dinner - KGB,MM,MPR - 24-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,24 pk / 12g,,,$25.92,65,0.00,0.00,0.00,0.00,25.00,,C3231S1A3742
"Breakfast & Lunch & Dinner - KL,MM,WC - 12-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,12 pk / 6g,,,$14.10,110,0.00,0.00,0.00,0.00,25.00,,C323181M4000
"Breakfast & Lunch & Dinner - KL,MM,WC - 24-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,24 pk / 12g,,,$25.92,85,0.00,0.00,0.00,0.00,25.00,,C3231P1A3999
COMING SOON,Bulk,Bulk,,,$0.00,1,0.00,0.00,0.00,0.00,0.00,,C3231P1D3807
COMING SOON Premium Flower - Aura Shots,Premium Flower,1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231D1K3801
COMING SOON Premium Flower - Bad Mama Jamas,Bulk,Bulk,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C323161E4054
COMING SOON Premium Flower - Gelato Cake,Bulk,Bulk,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231R1D3837
COMING SOON Premium Flower - Killer Green Bud,Bulk,Bulk,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231V184019
COMING SOON Premium Flower - King Louie,Bulk,Bulk,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231M144006
COMING SOON Premium Flower - Wake 'N' Bake Cookies,Bulk,Bulk,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231X1K3947
COMING SOON Premium Flower - Wedding Cake,Premium Flower,1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231D1A3838
Infused Pre-Rolls - Shatter Infused Death By Candy - 2-pack x 0.6g,Shatter Infused Pre-Rolls,2 pk / 1.2g,,,$4.00,0,0.00,0.00,0.00,0.00,0.00,,C02323R1002
Infused Pre-Rolls - Shatter Infused Death By Candy - 5-pack x 0.6g,Shatter Infused Pre-Rolls,5 pk / 3g,,,$9.45,0,0.00,0.00,0.00,0.00,0.00,,C32314143066
Infused Pre-Rolls - Shatter Infused Fruit of the Gods - 2-pack x 0.6g,Shatter Infused Pre-Rolls,2 pk / 1.2g,,,$4.00,0,1.71,47.35,0.00,0.12,52.00,,C02323R0755
Infused Pre-Rolls - Shatter Infused Fruit of the Gods - 5-pack x 0.6g,Shatter Infused Pre-Rolls,5 pk / 3g,,,$9.45,0,1.71,47.35,0.00,0.12,52.00,,C3231B163071
Infused Pre-Rolls - Shatter Infused Killer Strawberries From Outer Space - 2-pack x 0.6g,Shatter Infused Pre-Rolls,2 pk / 1.2g,,,$4.00,0,1.65 - 1.94,41.22 - 47.05,0.00,0.12 - 0.12,45.00 - 51.00,,C323181C1729
Infused Pre-Rolls - Shatter Infused Killer Strawberries From Outer Space - 5-pack x 0.6g,Shatter Infused Pre-Rolls,5 pk / 3g,,,$9.45,0,1.65 - 1.94,41.22 - 47.05,0.00,0.12 - 0.12,45.00 - 51.00,,C3231G1Y3070
Infused Pre-Rolls - Shatter Infused Laughing Gas - 2-pack x 0.6g,Shatter Infused Pre-Rolls,2 pk / 1.2g,,,$4.00,0,3.79,37.65,0.00,0.08,44.00,,C3231M1S2225
Infused Pre-Rolls - Shatter Infused Laughing Gas - 5-pack x 0.6g,Shatter Infused Pre-Rolls,5 pk / 3g,,,$9.45,0,3.79,37.65,0.00,0.08,44.00,,C3231D1G3068
Infused Pre-Rolls - Shatter Infused Sex On The Beach - 2-pack x 0.6g,Shatter Infused Pre-Rolls,2 pk / 1.2g,,,$4.00,0,1.83,45.73,0.00,0.12,50.00,,C3231A1M2270
Infused Pre-Rolls - Shatter Infused Sex On The Beach - 5-pack x 0.6g,Shatter Infused Pre-Rolls,5 pk / 3g,,,$9.45,0,1.83,45.73,0.00,0.12,50.00,,C323181V3063
Infused Pre-Rolls - Shatter Infused Zig-A-Zig Ah - 2-pack x 0.6g,Shatter Infused Pre-Rolls,2 pk / 1.2g,,,$4.00,0,3.61,39.35,0.00,0.11,46.00,,C323191T3016
Infused Pre-Rolls - Shatter Infused Zig-A-Zig Ah - 5-pack x 0.6g,Shatter Infused Pre-Rolls,5 pk / 3g,,,$9.45,0,0.00,0.00,0.00,0.00,0.00,,C3231Z1A3072
Kief Infused - Block Berry - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$2.40,0,0.55,36.64,0.00,0.09,40.00,,C3231U1V4014
Kief Infused - Block Berry - 5-pack x 0.75g,Kief Infused Pre-Rolls,3.75g,,,$8.50,0,0.55,36.64,0.00,0.09,40.00,,C3231P1F4015
Kief Infused - Fire Berry - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$2.40,0,0.73,29.06,0.00,0.08,32.00,,C323181P3492
Kief Infused - Fire Berry - 5-pack x 0.75g,Kief Infused Pre-Rolls,3.75g,,,$8.50,0,0.73,29.06,0.00,0.08,32.00,,C3231F174011
Kief Infused - Gelato Cake - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$2.40,0,1.24,31.82,0.00,0.08,35.00,,C3231B1V3493
Kief Infused - Gelato Cake - 5-pack x 0.75g,Kief Infused Pre-Rolls,3.75g,,,$8.50,0,1.24,31.82,0.00,0.08,35.00,,C3231U144012
Kief Infused - Magic Gum Drops - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$2.40,9,0.94,29.67,0.00,0.08,32.00,,C323181J3494
Kief Infused - Magic Gum Drops - 5-pack x 0.75g,Kief Infused Pre-Rolls,3.75g,,,$8.50,0,0.00,0.00,0.00,0.00,0.00,,C3231B134013
Premium Flower - Wedding Cake - 01g,Premium Flower,1g,,,$3.75,0,0.31,24.79,0.00,0.05,27.00,,C3231F161774
Premium Flower - Wedding Cake - 03.5g,Premium Flower,3.5g,,,$13.13,0,0.31,24.79,0.00,0.05,27.00,,C3231E1S1775
Trade Sample - 100% Flower Pre-Rolls - Killer Green Bud - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231X1V3224
Trade Sample - 100% Flower Pre-Rolls - King Louie - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231A1R3248
Trade Sample - 100% Flower Pre-Rolls - Magic Pop Rocks - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,1.27,21.32,0.00,0.05,24.00,,C3231F1Z3537
Trade Sample - 100% Flower Pre-Rolls - Mambas - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.47,23.02,0.00,0.06,25.00,,C3231X1V3391
Trade Sample - 100% Flower Pre-Rolls - Wake 'N' Bake Cookies - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231S1A3250
Trade Sample - 100% Flower Pre-Rolls - Wedding Cake - 2-pack x 0.5g,100% Flower Pre-Rolls,2 pk / 1g,,,$0.00,0,0.31,24.79,0.00,0.05,27.00,,C32316143252
Trade Sample - Kief Infused - Block Berry - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231E144016
Trade Sample - Kief Infused - Fire Berry - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.73,29.06,0.00,0.08,32.00,,C3231S1S3495
Trade Sample - Kief Infused - Gelato Cake - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231Q1M3496
Trade Sample - Kief Infused - Magic Gum Drops - 1-pack x 0.75g,Kief Infused Pre-Rolls,.75g,,,$0.00,0,0.94,29.67,0.00,0.08,32.00,,C3231Q153497
Trade Sample - Shatter Infused Death By Candy - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,1.50,44.82,0.00,0.11,49.00,,C323141X3191
Trade Sample - Shatter Infused Fruit of the Gods - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,1.71,47.35,0.00,0.12,52.00,,C3231S1M3190
Trade Sample - Shatter Infused Killer Strawberries From Outer Space - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,1.65,47.05,0.00,0.12,51.00,,C3231S143192
Trade Sample - Shatter Infused Laughing Gas - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,3.79,37.65,0.00,0.08,44.00,,C32319143193
Trade Sample - Shatter Infused Sex On The Beach - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231R1M3196
Trade Sample - Shatter Infused Zig-A-Zig Ah - 2-pack x 0.5g,Shatter Infused Pre-Rolls,2 pk / 1g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231C1Y3200
"Trade Sample Breakfast & Lunch & Dinner - KGB,MM,MPR - 6-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,06 pk / 3g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C3231D143741
"Trade Sample Breakfast & Lunch & Dinner - KL,MM,WC - 6-pack x 0.5g",100% Flower Pre-Rolls - Multi-Strain Packs,06 pk / 3g,,,$0.00,0,0.00,0.00,0.00,0.00,0.00,,C323191Y4001